원관념,키워드,비유 문장
열정,불꽃,나의 열정은 불꽃이다.
열정,엔진,나의 열정은 엔진이다.
열정,태양,나의 열정은 태양이다.
열정,바람,나의 열정은 바람이다.
열정,파도,나의 열정은 파도이다.
팀워크,톱니바퀴,나의 팀워크는 톱니바퀴이다.
팀워크,퍼즐,나의 팀워크는 퍼즐이다.
팀워크,합창,나의 팀워크는 합창이다.
팀워크,네트워크,나의 팀워크는 네트워크이다.
팀워크,강줄기,나의 팀워크는 강줄기이다.
성취지향,등산,나의 성취지향은 등산이다.
성취지향,마라톤,나의 성취지향은 마라톤이다.
성취지향,나침반,나의 성취지향은 나침반이다.
성취지향,비상구,나의 성취지향은 비상구이다.
성취지향,고속도로,나의 성취지향은 고속도로이다.
의사소통,다리,나의 의사소통은 다리이다.
의사소통,지도,나의 의사소통은 지도이다.
의사소통,도로,나의 의사소통은 도로이다.
의사소통,전화기,나의 의사소통은 전화기이다.
의사소통,전파,나의 의사소통은 전파이다.
분석적 사고,현미경,나의 분석적 사고는 현미경이다.
분석적 사고,지도,나의 분석적 사고는 지도이다.
분석적 사고,컴퓨터,나의 분석적 사고는 컴퓨터이다.
분석적 사고,도면,나의 분석적 사고는 도면이다.
분석적 사고,해부학 교재,나의 분석적 사고는 해부학 교재이다.
